Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,MACD,MACD_signal,MACD_diff,bollinger_mavg,bollinger_hband,bollinger_lband
2/17/2000,140.4375,140.4375,138.21875,138.28125,89.62436676,7584200,140.8539063,42.594443585017245,-0.892339122,-0.603824955,-0.288514167,140.8539063,144.88419047298012,136.82362202701987
2/18/2000,138.875,138.875,134.625,135.3125,87.70023345947266,9409200,140.3976563,37.285849248067166,-1.235653506,-0.730190665,-0.505462841,140.3976563,144.7546669776093,136.04064552239072
2/22/2000,135.1875,136.34375,133.53125,134.96875,87.47744750976562,16415400,140.1289063,36.71525563034186,-1.517972143,-0.887746961,-0.630225183,140.1289063,145.0876016094673,135.1702108905327
2/23/2000,135.625,137.46875,134.5,136.5625,88.51038360595703,12119000,139.8601563,41.207534588735406,-1.594726379,-1.029142844,-0.565583534,139.8601563,144.97771444268352,134.74259805731646
2/24/2000,136.6875,137.03125,133.09375,133.8125,86.72803497314453,17375000,139.5101563,36.405435699102014,-1.856061163,-1.194526508,-0.661534655,139.5101563,145.24015095815656,133.78016154184343
2/25/2000,135.1875,136.71875,133.125,133.328125,86.41410064697266,10559900,139.1640625,35.61810180533719,-2.078298545,-1.371280915,-0.707017629,139.1640625,145.47973698026405,132.84838801973595
2/28/2000,133.375,136.6875,132.71875,136.125,88.22685241699219,13397800,139.1765625,43.25003148416516,-2.005619302,-1.498148593,-0.507470709,139.1765625,145.4670881450203,132.88603685497966
2/29/2000,136.0625,137.4375,135.75,137.4375,89.07756042480469,8242500,139.0703125,46.45762378833949,-1.82111996,-1.562742866,-0.258377094,139.0703125,145.4028186994173,132.7378063005827
3/1/2000,137.625,139,137.21875,138.4375,89.72561645507812,6868000,138.9453125,48.83068276295953,-1.57604361,-1.565403015,-0.010640595,138.9453125,145.22392279732364,132.66670220267636
3/2/2000,138.6875,139.125,137.34375,138.53125,89.78643798828125,7600200,138.81875,49.05863163965415,-1.358592981,-1.524041008,0.16544802673776582,138.81875,145.02315714079785,132.61434285920214
3/3/2000,140.4375,141.71875,139.71875,141.125,91.46749877929688,12770300,138.715625,55.02779588,-0.965834307,-1.412399668,0.4465653611429292,138.715625,144.69046319080346,132.74078680919652
3/6/2000,140.8125,141.34375,138.75,139.75,90.57632446289062,11967100,138.5734375,51.57745429541024,-0.756797347,-1.281279204,0.5244818564748919,138.5734375,144.3026466854512,132.84422831454881
3/7/2000,140,140.15625,135.21875,137.046875,88.82432556152344,20062000,138.3070313,45.53303371193139,-0.800031384,-1.18502964,0.3849982560934446,138.3070313,143.79480419132165,132.81925830867834
3/8/2000,136.46875,137.84375,135.03125,136.875,88.71292114257812,11808500,137.9351563,45.170555861847944,-0.838497864,-1.115723285,0.2772254209120135,137.9351563,142.7058479725652,133.1644645274348
3/9/2000,137.25,140.875,136.125,140.875,91.30544281,5500900,137.9148438,54.29052000178509,-0.539991569,-1.000576941,0.46058537255281307,137.9148438,142.63152867685827,133.1981588231417
3/10/2000,140.1875,142,139.53125,140.125,90.81937408447266,7924600,137.8429688,52.526342008886346,-0.359794425,-0.872420438,0.5126260127767065,137.8429688,142.37533364517364,133.31060385482638
3/13/2000,136.6875,140.46875,135.6875,138.59375,89.82691955566406,10540500,137.8382813,49.02371313984566,-0.336665103,-0.765269371,0.42860426809443175,137.8382813,142.36733540545035,133.30922709454964
3/14/2000,139.28125,140.09375,136.15625,136.625,88.55086517333984,8263900,137.6945313,44.879918903361656,-0.471758482,-0.706567193,0.2348087114700318,137.6945313,142.1858365981702,133.20322590182982
3/15/2000,136.875,140.4375,136.0625,139.8125,90.61685180664062,10300800,137.63125,51.96001494521386,-0.317951203,-0.628843995,0.31089279201218667,137.63125,141.9629035706683,133.2995964293317
3/16/2000,141.625,146.84375,140.875,146.34375,94.84992980957031,25601400,137.9984375,62.56933672520866,0.3271878462800828,-0.437637627,0.7648254732980748,137.9984375,143.74567613722033,132.25119886277966
3/17/2000,145.8125,148,145.4375,146.9375,95.47682189941406,10272900,138.43125,63.36149953056566,0.8762747045642243,-0.174855161,1.051129865265773,138.43125,145.3772428308546,131.4852571691454
3/20/2000,146.875,147.34375,144.78125,146.1875,94.98947906,12502300,138.975,61.58841962347444,1.2366558647063641,0.10744704438003386,1.1292088203263302,138.975,146.53480969709446,131.41519030290553
3/21/2000,145.53125,149.75,144.5,149.1875,96.93885040283203,13612600,139.6859375,65.72061254152116,1.744229071487723,0.4348034498015717,1.3094256216861515,139.6859375,148.21694081603258,131.1549341839674
3/22/2000,149.5625,150.84375,148.6875,150.09375,97.52772521972656,8260000,140.3625,66.87972041455487,2.1943165802595956,0.7867060758931765,1.407610504366419,140.3625,149.88407603321446,130.84092396678557
3/23/2000,149.15625,153.46875,149.15625,152.65625,99.19273376464844,11654500,141.3046875,69.97160620457055,2.7263587414881556,1.1746366090121723,1.5517221324759833,141.3046875,151.73331630862864,130.87605869137136
